id,lang,title,path,main_topic_number,main_topic_dir,subtopic_number,subtopic_dir,slug,review_status,translation_status,source_count,opened_at,canonical
LAP-07-01,hu,Viren Wuermer Trojaner Spyware Hacker Phishing,07_IT_Security_und_Betriebssicherheit/01_Viren_Wuermer_Trojaner_Spyware_Hacker_Phishing/README.md,07,07_IT_Security_und_Betriebssicherheit,01,01_Viren_Wuermer_Trojaner_Spyware_Hacker_Phishing,07-01-viren_wuermer_trojaner_spyware_hacker_phishing,draft,de_complete,5,2026-04-08,True
LAP-07-02,hu,Zero Day Exploit,07_IT_Security_und_Betriebssicherheit/02_Zero_Day_Exploit/README.md,07,07_IT_Security_und_Betriebssicherheit,02,02_Zero_Day_Exploit,07-02-zero_day_exploit,draft,de_complete,4,2026-04-08,True
LAP-07-03,hu,Einschraenkungen bei Benutzerkonten,07_IT_Security_und_Betriebssicherheit/03_Einschraenkungen_bei_Benutzerkonten/README.md,07,07_IT_Security_und_Betriebssicherheit,03,03_Einschraenkungen_bei_Benutzerkonten,07-03-einschraenkungen_bei_benutzerkonten,draft,de_complete,4,2026-04-08,True
LAP-07-04,hu,Software Firewall,07_IT_Security_und_Betriebssicherheit/04_Software_Firewall/README.md,07,07_IT_Security_und_Betriebssicherheit,04,04_Software_Firewall,07-04-software_firewall,draft,de_complete,3,2026-04-08,True
LAP-07-05,hu,Schutz von Client PCs,07_IT_Security_und_Betriebssicherheit/05_Schutz_von_Client_PCs/README.md,07,07_IT_Security_und_Betriebssicherheit,05,05_Schutz_von_Client_PCs,07-05-schutz_von_client_pcs,draft,de_complete,6,2026-04-08,True
LAP-07-06,hu,Sichere Backup Planung,07_IT_Security_und_Betriebssicherheit/06_Sichere_Backup_Planung/README.md,07,07_IT_Security_und_Betriebssicherheit,06,06_Sichere_Backup_Planung,07-06-sichere_backup_planung,draft,de_complete,3,2026-04-08,True
LAP-07-07,hu,Backup Prinzipien,07_IT_Security_und_Betriebssicherheit/07_Backup_Prinzipien/README.md,07,07_IT_Security_und_Betriebssicherheit,07,07_Backup_Prinzipien,07-07-backup_prinzipien,draft,de_complete,4,2026-04-08,True
LAP-07-08,hu,Backup Medien und Lagerung,07_IT_Security_und_Betriebssicherheit/08_Backup_Medien_und_Lagerung/README.md,07,07_IT_Security_und_Betriebssicherheit,08,08_Backup_Medien_und_Lagerung,07-08-backup_medien_und_lagerung,draft,de_complete,4,2026-04-08,True
LAP-08-01,hu,Big Data,08_Informatik_und_Gesellschaft/01_Big_Data/README.md,08,08_Informatik_und_Gesellschaft,01,01_Big_Data,08-01-big_data,draft,de_complete,2,2026-04-08,True
LAP-08-02,hu,Web 2.0,08_Informatik_und_Gesellschaft/02_Web_2_0/README.md,08,08_Informatik_und_Gesellschaft,02,02_Web_2_0,08-02-web_2_0,draft,de_complete,1,2026-04-08,True
LAP-08-03,hu,Industrie 4.0,08_Informatik_und_Gesellschaft/03_Industrie_4_0/README.md,08,08_Informatik_und_Gesellschaft,03,03_Industrie_4_0,08-03-industrie_4_0,draft,de_complete,3,2026-04-08,True
LAP-08-04,hu,IoT,08_Informatik_und_Gesellschaft/04_IoT/README.md,08,08_Informatik_und_Gesellschaft,04,04_IoT,08-04-iot,draft,de_complete,3,2026-04-08,True
LAP-08-05,hu,Sprachassistenten Vor und Nachteile,08_Informatik_und_Gesellschaft/05_Sprachassistenten_Vor_und_Nachteile/README.md,08,08_Informatik_und_Gesellschaft,05,05_Sprachassistenten_Vor_und_Nachteile,08-05-sprachassistenten_vor_und_nachteile,draft,de_complete,3,2026-04-08,True
LAP-08-06,hu,E Government digitale Signatur Handy Signatur,08_Informatik_und_Gesellschaft/06_E_Government_digitale_Signatur_Handy_Signatur/README.md,08,08_Informatik_und_Gesellschaft,06,06_E_Government_digitale_Signatur_Handy_Signatur,08-06-e_government_digitale_signatur_handy_signatur,draft,de_complete,5,2026-04-08,True
LAP-08-07,hu,Schutz vor Cookie Tracking,08_Informatik_und_Gesellschaft/07_Schutz_vor_Cookie_Tracking/README.md,08,08_Informatik_und_Gesellschaft,07,07_Schutz_vor_Cookie_Tracking,08-07-schutz_vor_cookie_tracking,draft,de_complete,4,2026-04-08,True
LAP-08-08,hu,Identitaetsdiebstahl,08_Informatik_und_Gesellschaft/08_Identitaetsdiebstahl/README.md,08,08_Informatik_und_Gesellschaft,08,08_Identitaetsdiebstahl,08-08-identitaetsdiebstahl,draft,de_complete,4,2026-04-08,True
LAP-08-09,hu,Netzneutralitaet,08_Informatik_und_Gesellschaft/09_Netzneutralitaet/README.md,08,08_Informatik_und_Gesellschaft,09,09_Netzneutralitaet,08-09-netzneutralitaet,draft,de_complete,3,2026-04-08,True
LAP-08-10,hu,Biometrische Daten Vor und Nachteile,08_Informatik_und_Gesellschaft/10_Biometrische_Daten_Vor_und_Nachteile/README.md,08,08_Informatik_und_Gesellschaft,10,10_Biometrische_Daten_Vor_und_Nachteile,08-10-biometrische_daten_vor_und_nachteile,draft,de_complete,4,2026-04-08,True
LAP-08-11,hu,Unternehmensrichtlinien soziale Netzwerke,08_Informatik_und_Gesellschaft/11_Unternehmensrichtlinien_soziale_Netzwerke/README.md,08,08_Informatik_und_Gesellschaft,11,11_Unternehmensrichtlinien_soziale_Netzwerke,08-11-unternehmensrichtlinien_soziale_netzwerke,draft,de_complete,3,2026-04-08,True
LAP-09-01,hu,Ergonomische Einrichtung,09_Ergonomischer_Arbeitsplatz/01_Ergonomische_Einrichtung/README.md,09,09_Ergonomischer_Arbeitsplatz,01,01_Ergonomische_Einrichtung,09-01-ergonomische_einrichtung,draft,de_complete,3,2026-04-08,True
LAP-09-02,hu,Aufstellungsort von Bildschirmen,09_Ergonomischer_Arbeitsplatz/02_Aufstellungsort_von_Bildschirmen/README.md,09,09_Ergonomischer_Arbeitsplatz,02,02_Aufstellungsort_von_Bildschirmen,09-02-aufstellungsort_von_bildschirmen,draft,de_complete,3,2026-04-08,True
LAP-09-03,hu,Bildschirmarbeit Pausenregelung,09_Ergonomischer_Arbeitsplatz/03_Bildschirmarbeit_Pausenregelung/README.md,09,09_Ergonomischer_Arbeitsplatz,03,03_Bildschirmarbeit_Pausenregelung,09-03-bildschirmarbeit_pausenregelung,draft,de_complete,3,2026-04-08,True
LAP-09-04,hu,Ideale Hoehe und Abstand,09_Ergonomischer_Arbeitsplatz/04_Ideale_Hoehe_und_Abstand/README.md,09,09_Ergonomischer_Arbeitsplatz,04,04_Ideale_Hoehe_und_Abstand,09-04-ideale_hoehe_und_abstand,draft,de_complete,3,2026-04-08,True
LAP-09-05,hu,Schutzmassnahmen bei sitzender Taetigkeit,09_Ergonomischer_Arbeitsplatz/05_Schutzmassnahmen_bei_sitzender_Taetigkeit/README.md,09,09_Ergonomischer_Arbeitsplatz,05,05_Schutzmassnahmen_bei_sitzender_Taetigkeit,09-05-schutzmassnahmen_bei_sitzender_taetigkeit,draft,de_complete,4,2026-04-08,True
LAP-09-06,hu,Entspannungsuebungen,09_Ergonomischer_Arbeitsplatz/06_Entspannungsuebungen/README.md,09,09_Ergonomischer_Arbeitsplatz,06,06_Entspannungsuebungen,09-06-entspannungsuebungen,draft,de_complete,4,2026-04-08,True
LAP-10-01,hu,Fachspezifische Verkaufsgespraeche Produktberatung,10_Fachberatung_und_Planung/01_Fachspezifische_Verkaufsgespraeche_Produktberatung/README.md,10,10_Fachberatung_und_Planung,01,01_Fachspezifische_Verkaufsgespraeche_Produktberatung,10-01-fachspezifische_verkaufsgespraeche_produktberatung,draft,de_complete,3,2026-04-08,True
LAP-10-02,hu,Technische Zusammenhaenge erklaeren,10_Fachberatung_und_Planung/02_Technische_Zusammenhaenge_erklaeren/README.md,10,10_Fachberatung_und_Planung,02,02_Technische_Zusammenhaenge_erklaeren,10-02-technische_zusammenhaenge_erklaeren,draft,de_complete,3,2026-04-08,True
LAP-10-03,hu,Kundenorientierte Softwareloesungen,10_Fachberatung_und_Planung/03_Kundenorientierte_Softwareloesungen/README.md,10,10_Fachberatung_und_Planung,03,03_Kundenorientierte_Softwareloesungen,10-03-kundenorientierte_softwareloesungen,draft,de_complete,4,2026-04-08,True
LAP-10-04,hu,Umgang mit Reklamationen,10_Fachberatung_und_Planung/04_Umgang_mit_Reklamationen/README.md,10,10_Fachberatung_und_Planung,04,04_Umgang_mit_Reklamationen,10-04-umgang_mit_reklamationen,draft,de_complete,4,2026-04-08,True
LAP-10-05,hu,Kundenumgang bei technischen Problemen,10_Fachberatung_und_Planung/05_Kundenumgang_bei_technischen_Problemen/README.md,10,10_Fachberatung_und_Planung,05,05_Kundenumgang_bei_technischen_Problemen,10-05-kundenumgang_bei_technischen_problemen,draft,de_complete,4,2026-04-08,True
LAP-11-01,hu,Begriff Informatik,11_Informatik/01_Begriff_Informatik/README.md,11,11_Informatik,01,01_Begriff_Informatik,11-01-begriff_informatik,draft,de_complete,3,2026-04-08,True
